filmid,title,runtime,genre,director,actors,language,country,imdbRating,metascore,imdbVotes,Worlwide boxoffice,budget,ROI,year,winner,category
tt0382330,As It Is in Heaven,133 min,Comedy,Kay Pollak,"Michael Nyqvist, Frida Hallgren, Helen Sjöholm","Swedish, English, Italian",Sweden,7.5,N/A,"18,436",18328469,450000.0,39.73,2004,no,foreign language film
tt0372824,The Chorus,97 min,Drama,Christophe Barratier,"Gérard Jugnot, François Berléand, Jean-Baptiste Maunier",French,France,7.8,56,"68,923",88385944,13000000.0,5.8,2004,no,foreign language film
tt0363163,Downfall,156 min,Biography,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes","German, Russian, French, Hungarian, English",Germany,8.2,82,"387,266",92181574,13500000.0,5.83,2004,no,foreign language film
tt0369702,The Sea Inside,126 min,Biography,Alejandro Amenábar,"Javier Bardem, Belén Rueda, Lola Dueñas","Spanish, Catalan, Galician",Spain,8.0,74,"86,753",43731621,11500000.0,2.8,2004,yes,foreign language film
tt0419279,Yesterday,90 min,Drama,Darrell Roodt,"Leleti Khumalo, Lihle Mvelase, Kenneth Khambula",Zulu,South Africa,7.5,N/A,"2,471",246439,26000000.0,-0.99,2004,no,foreign language film
tt0338751,The Aviator,170 min,Biography,Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale","English, Persian",United States,7.5,77,"391,524",213719942,190000000.0,0.12,2004,no,best picture
tt0308644,Finding Neverland,106 min,Biography,Marc Forster,"Johnny Depp, Kate Winslet, Julie Christie",English,United States,7.7,67,"213,751",116650613,25000000.0,3.67,2004,no,best picture
tt0405159,Million Dollar Baby,132 min,Drama,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman","English, Irish Gaelic, German",United States,8.1,86,"745,543",216763646,30000000.0,6.23,2004,yes,best picture
tt0350258,Ray,152 min,Biography,Taylor Hackford,"Jamie Foxx, Regina King, Kerry Washington",English,United States,7.7,73,"160,266",123971376,40000000.0,2.1,2004,no,best picture
tt0375063,Sideways,127 min,Comedy,Alexander Payne,"Paul Giamatti, Thomas Haden Church, Virginia Madsen","English, Armenian, French",United States,7.5,94,"209,135",109706931,17000000.0,5.45,2004,no,best picture
tt0347149,Howl's Moving Castle,119 min,Animation,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin",Japanese,Japan,8.2,82,"480,420",240971323,19000000.0,11.68,2005,no,animated feature film
tt0121164,Corpse Bride,77 min,Animation,"Tim Burton, Mike Johnson","Johnny Depp, Helena Bonham Carter, Emily Watson",English,United States,7.4,83,"310,890",117237680,40000000.0,1.93,2005,no,animated feature film
tt0312004,Wallace & Gromit: The Curse of the Were-Rabbit,85 min,Animation,"Steve Box, Nick Park","Peter Sallis, Helena Bonham Carter, Ralph Fiennes",English,United Kingdom,7.5,87,"152,997",192776116,30000000.0,5.43,2005,yes,animated feature film
tt0443446,Don't Tell,120 min,Drama,Cristina Comencini,"Giovanna Mezzogiorno, Luigi Lo Cascio, Alessio Boni","Italian, English",Italy,6.4,52,"2,613",5923415,0.0,inf,2005,no,foreign language film
tt0424205,Joyeux Noel,116 min,Drama,Christian Carion,"Diane Kruger, Benno Fürmann, Guillaume Canet","French, German, English, Latin",France,7.6,70,"33,037",17709155,22000000.0,-0.2,2005,no,foreign language film
tt0445620,Paradise Now,91 min,Crime,Hany Abu-Assad,"Kais Nashif, Ali Suliman, Lubna Azabal","Arabic, English",Occupied Palestinian Territory,7.4,71,"24,349",3579902,0.0,inf,2005,no,foreign language film
tt0426578,Sophie Scholl: The Final Days,120 min,Biography,Marc Rothemund,"Julia Jentsch, Fabian Hinrichs, Alexander Held",German,Germany,7.6,76,"29,091",10804315,6000000.0,0.8,2005,no,foreign language film
tt0468565,Tsotsi,94 min,Crime,Gavin Hood,"Presley Chweneyagae, Mothusi Magano, Israel Matseke-Zulu","Zulu, Sotho, Xhosa, Afrikaans, English",United Kingdom,7.2,70,"31,817",9891303,3000000.0,2.3,2005,yes,foreign language film
tt0388795,Brokeback Mountain,134 min,Drama,Ang Lee,"Jake Gyllenhaal, Heath Ledger, Michelle Williams","English, Spanish",Canada,7.7,87,"399,825",178064141,13900000.0,11.81,2005,no,best picture
tt0379725,Capote,114 min,Biography,Bennett Miller,"Philip Seymour Hoffman, Clifton Collins Jr., Catherine Keener",English,United States,7.3,88,"144,716",49327405,7000000.0,6.05,2005,no,best picture
tt0375679,Crash,112 min,Crime,Paul Haggis,"Don Cheadle, Sandra Bullock, Thandiwe Newton","English, Persian, Spanish, Mandarin, Korean",United States,7.7,66,"454,574",98410061,10000000.0,8.84,2005,yes,best picture
tt0433383,"Good Night, and Good Luck.",93 min,Biography,George Clooney,"David Strathairn, George Clooney, Patricia Clarkson",English,United Kingdom,7.4,80,"102,376",54641191,7000000.0,6.81,2005,no,best picture
tt0408306,Munich,164 min,Drama,Steven Spielberg,"Eric Bana, Daniel Craig, Marie-Josée Croze","English, German, French, Hebrew, Arabic, Italian, Greek, Russian, Dutch",France,7.5,74,"246,983",130982407,75000000.0,0.75,2005,no,best picture
tt0317219,Cars,116 min,Animation,"John Lasseter, Joe Ranft","Owen Wilson, Bonnie Hunt, Paul Newman","English, Italian, Japanese, Yiddish",United States,7.3,73,"501,895",461996328,70000000.0,5.6,2006,no,animated feature film
tt0366548,Happy Feet,108 min,Animation,"George Miller, Warren Coleman, Judy Morris","Elijah Wood, Brittany Murphy, Hugh Jackman",English,United States,6.4,77,"206,080",384336781,85000000.0,3.52,2006,yes,animated feature film
tt0385880,Monster House,91 min,Animation,Gil Kenan,"Mitchel Musso, Sam Lerner, Spencer Locke",English,United States,6.7,68,"145,933",141861243,75000000.0,0.89,2006,no,animated feature film
tt0457655,After the Wedding,120 min,Drama,Susanne Bier,"Mads Mikkelsen, Sidse Babett Knudsen, Rolf Lassgård","Danish, Swedish, English, Hindi",Denmark,7.7,78,"37,670",11632723,7000000.0,0.66,2006,no,foreign language film
tt0444182,Days of Glory,120 min,Drama,Rachid Bouchareb,"Samy Naceri, Roschdy Zem, Sami Bouajila","French, Arabic",Algeria,7.0,82,"15,320",22963701,20000000.0,0.15,2006,no,foreign language film
tt0405094,The Lives of Others,137 min,Drama,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch",German,Germany,8.4,89,"426,492",77672685,2000000.0,37.84,2006,yes,foreign language film
tt0457430,Pan's Labyrinth,118 min,Drama,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López",Spanish,Mexico,8.2,98,"724,170",83863565,19000000.0,3.41,2006,no,foreign language film
tt0240200,Water,117 min,Drama,Deepa Mehta,"Lisa Ray, John Abraham, Seema Biswas","Hindi, Sanskrit, English",Canada,7.7,77,"15,505",13014956,3000000.0,3.34,2006,no,foreign language film
tt0449467,Babel,143 min,Drama,Alejandro G. Iñárritu,"Brad Pitt, Cate Blanchett, Gael García Bernal","English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign ",United States,7.5,69,"322,031",135330835,20000000.0,5.77,2006,no,best picture
tt0407887,The Departed,151 min,Crime,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson","English, Cantonese",United States,8.5,85,"1,481,779",291481358,90000000.0,2.24,2006,yes,best picture
tt0498380,Letters from Iwo Jima,141 min,Action,Clint Eastwood,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara","Japanese, English",United States,7.8,89,"172,625",68673228,13000000.0,4.28,2006,no,best picture
tt0449059,Little Miss Sunshine,101 min,Comedy,"Jonathan Dayton, Valerie Faris","Steve Carell, Toni Collette, Greg Kinnear",English,United States,7.8,80,"529,633",101059571,8000000.0,11.63,2006,no,best picture
tt0436697,The Queen,103 min,Biography,Stephen Frears,"Helen Mirren, Michael Sheen, James Cromwell","English, German, French",United Kingdom,7.3,90,"117,005",124925340,15000000.0,7.33,2006,no,best picture
tt0808417,Persepolis,96 min,Animation,"Vincent Paronnaud, Marjane Satrapi","Chiara Mastroianni, Catherine Deneuve, Gena Rowlands","French, English, Persian, German",France,8.0,90,"102,680",22783990,7300000.0,2.12,2007,no,animated feature film
tt0382932,Ratatouille,111 min,Animation,"Brad Bird, Jan Pinkava","Brad Garrett, Lou Romano, Patton Oswalt","English, French",United States,8.1,96,"883,425",623729380,150000000.0,3.16,2007,yes,animated feature film
tt0423294,Surf's Up,85 min,Animation,"Ash Brannon, Chris Buck","Shia LaBeouf, Zooey Deschanel, Jon Heder",English,United States,6.7,64,"95,811",152010962,100000000.0,0.52,2007,no,animated feature film
tt0758732,Beaufort,131 min,Action,Joseph Cedar,"Oshri Cohen, Itay Tiran, Eli Eltonyo",Hebrew,Israel,6.7,N/A,"4,883",271340,0.0,inf,2007,no,foreign language film
tt0813547,The Counterfeiters,99 min,Crime,Stefan Ruzowitzky,"Karl Markovics, August Diehl, Devid Striesow","German, Russian, English, Hebrew",Austria,7.5,78,"47,659",18814713,5000000.0,2.76,2007,yes,foreign language film
tt0879843,Katyn,121 min,Drama,Andrzej Wajda,"Andrzej Chyra, Maja Ostaszewska, Artur Zmijewski","Polish, Russian, German",Poland,7.0,81,"17,646",14768451,0.0,inf,2007,no,foreign language film
tt0416044,Mongol: The Rise of Genghis Khan,126 min,Action,Sergei Bodrov,"Tadanobu Asano, Amadu Mamadakov, Khulan Chuluun","Mongolian, Mandarin",Russia,7.2,74,"50,221",26527510,20000000.0,0.33,2007,no,foreign language film
tt0488478,12,159 min,Crime,Nikita Mikhalkov,"Sergey Makovetskiy, Sergey Garmash, Apti Magamaev","Russian, Chechen",Russia,7.5,72,"15,679",7537453,0.0,inf,2007,no,foreign language film
tt0783233,Atonement,123 min,Drama,Joe Wright,"Keira Knightley, James McAvoy, Brenda Blethyn","English, French",United Kingdom,7.8,85,"312,812",129266061,30000000.0,3.31,2007,no,best picture
tt0467406,Juno,96 min,Comedy,Jason Reitman,"Elliot Page, Michael Cera, Jennifer Garner","English, Spanish",United States,7.4,81,"558,478",232373066,7000000.0,32.2,2007,no,best picture
tt0465538,Michael Clayton,119 min,Crime,Tony Gilroy,"George Clooney, Tilda Swinton, Tom Wilkinson",English,United States,7.2,82,"177,866",92991835,21500000.0,3.33,2007,no,best picture
tt0477348,No Country for Old Men,122 min,Crime,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin","English, Spanish",United States,8.2,92,"1,120,666",171632777,25000000.0,5.87,2007,yes,best picture
tt0469494,There Will Be Blood,158 min,Drama,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds","English, American Sign ",United States,8.2,93,"668,453",76430381,25000000.0,2.06,2007,no,best picture
tt0397892,Bolt,96 min,Animation,"Byron Howard, Chris Williams","John Travolta, Miley Cyrus, Susie Essman",English,United States,6.8,67,"236,537",309979994,150000000.0,1.07,2008,no,animated feature film
tt0441773,Kung Fu Panda,92 min,Animation,"Mark Osborne, John Stevenson","Jack Black, Ian McShane, Angelina Jolie",English,United States,7.6,74,"549,513",632384787,130000000.0,3.86,2008,no,animated feature film
