IMDb ID,title,Worlwide boxoffice
tt12789558,belfast,"$49,158,709"
tt10366460,coda,"$1,905,058"
tt11286314,don't look up,"$791,863"
tt1160419,dune,"$410,668,018"
tt9620288,king richard,"$39,529,285"
tt11271038,licorice pizza,"$33,276,075"
tt7740496,nightmare alley,"$39,629,195"
tt10293406,the power of the dog,"$271,009"
tt3581652,west side story,"$76,016,171"
tt1488589,guillermo del toro's pinocchio,"$109,846"
tt15339456,marcel the shell with shoes on,"$6,909,209"
tt3915174,puss in boots: the last wish,"$480,466,413"
tt9288046,the sea beast,
tt8097030,turning red,"$21,813,358"
tt1016150,all quiet on the western front,
tt15301048,"argentina, 1985","$905,893"
tt9660502,close,"$5,216,044"
tt19652910,eo,"$2,585,252"
tt15109082,the quiet girl,"$6,785,404"
tt1630029,avatar: the way of water,"$2,320,250,281"
tt11813216,the banshees of inisherin,"$50,250,625"
tt3704428,elvis,"$288,670,284"
tt6710474,everything everywhere all at once,"$143,412,671"
tt14208870,the fabelmans,"$45,614,213"
tt14444726,tár,"$29,177,163"
tt1745960,top gun: maverick,"$1,495,696,292"
tt7322224,triangle of sadness,"$26,195,743"
tt13669038,women talking,"$9,276,103"
tt6587046,the boy and the heron,"$282,422,186"
tt15789038,elemental,"$496,444,308"
tt19500164,nimona,
tt13429870,robot dreams,"$4,656,497"
tt9362722,spider-man: across the spider-verse,"$690,824,738"
tt14225838,io capitano,"$7,636,951"
tt27503384,perfect days,"$25,660,952"
tt16277242,society of the snow,"$1,281"
tt26612950,the teachers' lounge,"$5,707,442"
tt7160372,the zone of interest,"$52,631,884"
tt23561236,american fiction,"$22,483,370"
tt17009710,anatomy of a fall,"$36,051,506"
tt1517268,barbie,"$1,447,038,421"
tt14849194,the holdovers,"$45,737,958"
tt5537002,killers of the flower moon,"$158,772,599"
tt5535276,maestro,"$383,532"
tt15398776,oppenheimer,"$975,811,333"
tt13238346,past lives,"$42,677,159"
tt14230458,poor things,"$117,625,455"
tt4772188,flow,"$29,905,187"
tt22022452,inside out 2,"$1,698,863,816"
tt23770030,memoir of a snail,"$7,566,626"
tt17163970,wallace & gromit: vengeance most fowl,"$191,452"
tt29623480,the wild robot,"$333,165,945"
tt20221436,emilia pérez,"$16,298,763"
tt10236164,the girl with the needle,"$530,171"
tt14961016,i'm still here,"$35,937,628"
tt32178949,the seed of the sacred fig,"$6,532,783"
tt28607951,anora,"$59,568,145"
tt8999762,the brutalist,"$50,257,472"
tt11563598,a complete unknown,"$140,263,060"
tt20215234,conclave,"$119,109,751"
tt15239678,dune: part two,"$714,644,358"
tt23055660,nickel boys,"$3,016,380"
tt17526714,the substance,"$77,316,812"
tt1262426,wicked,"$755,311,722"
